pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,payment_type,tip_amount,total_amount
2019-06-15,Saturday,20,2019-06-15,Saturday,20,3,0.82,1,Manhattan,Manhattan,1,5.0,13.3
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,1.0,1,Manhattan,Manhattan,2,0.0,10.3
2019-06-15,Saturday,20,2019-06-15,Saturday,20,2,3.63,1,Manhattan,Manhattan,1,2.0,20.8
2019-06-15,Saturday,20,2019-06-15,Saturday,21,1,1.31,1,Manhattan,Manhattan,2,0.0,10.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,1.8,1,Manhattan,Manhattan,1,1.0,14.3
2019-06-15,Saturday,20,2019-06-15,Saturday,20,4,0.9,1,Manhattan,Manhattan,2,0.0,10.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,0.83,1,Manhattan,Manhattan,1,1.76,10.56
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,1.3,1,Manhattan,Manhattan,1,2.15,12.95
2019-06-15,Saturday,20,2019-06-15,Saturday,20,2,1.1,1,Manhattan,Manhattan,1,1.0,11.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,0.88,1,Manhattan,Manhattan,1,1.5,11.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,4,1.57,1,Manhattan,Manhattan,1,2.0,14.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,3.8,1,Manhattan,Manhattan,1,4.26,25.56
2019-06-15,Saturday,20,2019-06-15,Saturday,20,4,0.7,1,Manhattan,Manhattan,1,1.86,11.16
2019-06-15,Saturday,20,2019-06-15,Saturday,20,6,3.01,1,Manhattan,Manhattan,1,5.79,25.09
2019-06-15,Saturday,20,2019-06-15,Saturday,20,3,1.02,1,Unknown,Unknown,1,1.66,9.96
2019-06-15,Saturday,20,2019-06-15,Saturday,21,1,10.9,1,Queens,Manhattan,1,0.0,41.92
2019-06-15,Saturday,20,2019-06-15,Saturday,20,2,4.5,1,Manhattan,Manhattan,1,3.85,23.15
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,1.1,1,Manhattan,Manhattan,2,0.0,12.92
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,0.5,1,Manhattan,Manhattan,1,0.0,8.3
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,8.39,1,Manhattan,Manhattan,2,0.0,29.3
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,3.36,1,Manhattan,Manhattan,1,4.7,23.5
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,1.06,1,Manhattan,Manhattan,1,2.06,12.36
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,0.7,1,Manhattan,Manhattan,2,0.0,8.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,1.75,1,Manhattan,Manhattan,1,2.56,15.36
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,2.75,1,Manhattan,Manhattan,1,3.06,18.36
2019-06-15,Saturday,20,2019-06-15,Saturday,21,6,1.81,1,Manhattan,Manhattan,1,0.0,12.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,0.6,1,Manhattan,Manhattan,1,1.58,10.38
2019-06-15,Saturday,20,2019-06-15,Saturday,20,5,2.52,1,Manhattan,Manhattan,1,2.86,17.16
