pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,total_amount
2019-06-15,Saturday,20,2019-06-15,Saturday,20,3,0.82,1,Upper East Side South,Upper East Side South,13.3
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,1.0,1,Upper East Side North,Yorkville East,10.3
2019-06-15,Saturday,20,2019-06-15,Saturday,20,2,3.63,1,Upper East Side South,Bloomingdale,20.8
2019-06-15,Saturday,20,2019-06-15,Saturday,21,1,1.31,1,Lincoln Square East,Upper East Side South,10.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,1.8,1,Lenox Hill West,Murray Hill,14.3
2019-06-15,Saturday,20,2019-06-15,Saturday,20,4,0.9,1,Times Sq/Theatre District,Midtown South,10.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,0.83,1,Union Sq,East Village,10.56
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,1.3,1,Lincoln Square East,Upper East Side South,12.95
2019-06-15,Saturday,20,2019-06-15,Saturday,20,2,1.1,1,Lenox Hill West,Sutton Place/Turtle Bay North,11.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,0.88,1,Upper East Side South,Midtown North,11.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,4,1.57,1,TriBeCa/Civic Center,Greenwich Village South,14.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,3.8,1,World Trade Center,Times Sq/Theatre District,25.56
2019-06-15,Saturday,20,2019-06-15,Saturday,20,4,0.7,1,Midtown North,Clinton West,11.16
2019-06-15,Saturday,20,2019-06-15,Saturday,20,6,3.01,1,Flatiron,Murray Hill,25.09
2019-06-15,Saturday,20,2019-06-15,Saturday,20,3,1.02,1,NV,NV,9.96
2019-06-15,Saturday,20,2019-06-15,Saturday,21,1,10.9,1,LaGuardia Airport,Lincoln Square East,41.92
2019-06-15,Saturday,20,2019-06-15,Saturday,20,2,4.5,1,Battery Park,East Village,23.15
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,1.1,1,East Harlem North,Randalls Island,12.92
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,0.5,1,Flatiron,Midtown South,8.3
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,8.39,1,Yorkville East,Manhattanville,29.3
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,3.36,1,Times Sq/Theatre District,Yorkville West,23.5
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,1.06,1,TriBeCa/Civic Center,Little Italy/NoLiTa,12.36
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,0.7,1,Upper West Side North,Upper West Side North,8.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,1.75,1,West Village,Penn Station/Madison Sq West,15.36
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,2.75,1,Kips Bay,Upper East Side North,18.36
2019-06-15,Saturday,20,2019-06-15,Saturday,21,6,1.81,1,UN/Turtle Bay South,East Village,12.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,0.6,1,Lincoln Square East,Clinton West,10.38
2019-06-15,Saturday,20,2019-06-15,Saturday,20,5,2.52,1,TriBeCa/Civic Center,Union Sq,17.16
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,0.7,1,Lenox Hill West,Sutton Place/Turtle Bay North,13.5
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,3.6,1,Little Italy/NoLiTa,Midtown Center,18.8
2019-06-15,Saturday,20,2019-06-15,Saturday,21,2,0.89,1,Murray Hill,Union Sq,10.56
2019-06-15,Saturday,20,2019-06-15,Saturday,20,3,0.5,1,Penn Station/Madison Sq West,Midtown South,9.8
2019-06-15,Saturday,20,2019-06-15,Saturday,20,5,1.99,1,Upper East Side North,Upper West Side South,14.0
2019-06-15,Saturday,20,2019-06-15,Saturday,20,2,0.66,1,Midtown South,Midtown Center,8.3
2019-06-15,Saturday,20,2019-06-15,Saturday,20,1,2.9,1,Meatpacking/West Village West,Murray Hill,19.55
2019-06-15,Saturday,20,2019-06-15,Saturday,21,5,3.86,1,Murray Hill,Upper West Side South,24.36
